tag,x,y
blue,-45.0,1.5
blue,-40.0,1.5
blue,-35.0,1.5
blue,-30.0,1.5
blue,-25.0,1.5
blue,-20.0,1.5
blue,-15.0,1.5
blue,-10.0,1.5
blue,-5.0,1.5
blue,0.0,1.5
blue,5.0,1.5
blue,10.0,1.5
blue,15.0,1.5
blue,20.0,1.5
yellow,-45.0,-1.5
yellow,-40.0,-1.5
yellow,-35.0,-1.5
yellow,-30.0,-1.5
yellow,-25.0,-1.5
yellow,-20.0,-1.5
yellow,-15.0,-1.5
yellow,-10.0,-1.5
yellow,-5.0,-1.5
yellow,0.0,-1.5
yellow,5.0,-1.5
yellow,10.0,-1.5
yellow,15.0,-1.5
yellow,20.0,-1.5
big_orange,-50.0,1.5
big_orange,-50.0,-1.5
big_orange,-50.5,1.5
big_orange,-50.5,-1.5
big_orange,25.0,1.5
big_orange,25.0,-1.5
orange,30.0,1.5
orange,30.0,-1.5
orange,35.0,1.5
orange,35.0,-1.5
orange,40.0,1.5
orange,40.0,-1.5
orange,45.0,1.5
orange,45.0,-1.5
orange,50.0,1.5
orange,50.0,-1.5
orange,50.0,0.75
orange,50.0,-0.75
